id,content,type,replyTo,parent,author,revision,talk_page,timestamp
698939576.941.979,"Is [EXTERNAL_LINK: OpEdNews] a reliable source? This seems like it belongs in this article somewhere. I'm having a bit of difficulty comprehending all this without a nice diagram, but apparently some sort of Canada-to-Gulf-coast pipeline already got completed anyway through Enbridge-owned segments constructed thanks to an Executive Order and the segments of which managed to sidestep the NEPA review process entirely? Having a look at [EXTERNAL_LINK: Enbridge's own pipeline maps], it appears they have a pipeline running from the Alberta tar sands all the way to Chicago, Illinois and then back to Cushing, Oklahoma to connect with the rest of the Keystone pipeline segments, effectively completing the ability to transport oil from Canada to the Gulf Coast.
Perhaps a single sentence about this belongs in the Environmental Policy section?
",COMMENT_MODIFICATION,698939576.929.929,697095792.1013.963,SMP0328.,698939576,Talk:Barack Obama,2016-01-09 05:42:36.000000 UTC
703803741.4649.4649,"!!!!!!!!!!!!!!  — Preceding [WIKI_LINK: Wikipedia:Signatures|unsigned] comment added by   •
",COMMENT_MODIFICATION,703803694.4608.4608,554493706.0.0,SineBot,703803741,Talk:Barack Obama,2016-02-07 19:23:40.000000 UTC
704547928.14.14,"BIRTH CERTIFICATE IS NOT EQUIVALENT TO CITIZENSHIP. If the Latino people become the majority population in the United States , there is no doubt 100% the United States will become another Mexico, face the truth and face the reality. Then what kind of show their politicians will have, I can also tell you now. First, they would further proclaim that they are the masters of this land, whites are immigrants from Europe, for the last few decades whites hinder the immigration issue on the latino, they will ask whites apology, and require constant apology even want an apology written into the Constitution, in order to approve latinos with the naturally born owned rights of the land. WASP created the modern civilization on this primitive land, and instantly turned into second-class citizens and foreign sojourners. Latinos will require a fully representing of the government, for revenge, they will further squeeze out the white forces from various government departments, the easiest way is to open the borders and let 100 million illegal immigrants enter the United States, in short time to obtain a residence permit and the right to vote. Any objections raised by whites, will be deducted racism hat.
After completion of the political siege followed is the economy. They will clearly require Latinos in economic activity must occupy most of proportion, they will use government power to intervene directly, whites will be forced to withdraw and abandon all economic activities. Latino government officials at all levels will use the power in their hands, full penetration into various socio-economic levels. The combination of power and money, then that is a comprehensive social corruption. To get any of the white business survival and development in this society, not by technological innovation, production efficiency and improve service levels, but to rely on bribery of government officials at all levels, and the appropriate government officials get a lot of opportunities for corruption in this way. This is a typical Latin America bureaucratic economy. Under this social environment, WASP wisdom and creativity will disappear, which is what these politicians want: completely destroy any whites’ confidence and the demands of society, in order to consolidate the power base of Latino politicians. As for the collapse of social economy and severe recession, which is not within the scope of their care, they care about is how there are more opportunities for them wantonly corruption. They have nothing to fear, because they know that even if they rape of women in the office doorway, their voters would still support them, because those voters would seriously believe that woman deliberately seduced their politician.
These Latino politicians but also would establish an image in the world as America is Latino America, Latinos are the real masters of the United States. Whites will be in very bad situation. If you want to emigrate, Europe has been very crowded, and there are 25 million Arab Muslims, the Muslims will always remember under white rule in the United States who helped Jews. Canada could be a destination, but it will be very difficult for the Canadian government, because under pressure they must audit white immigrants and latino immigrants equally, otherwise it will be treated as racial discrimination. Measures ultimately adopted across the board, that's all refused. American whites won’t be able to go any place, waiting for the U.S. to become a central America country or Mexico. So my suggestion to all whites, now you go for a trip to Mexico or Guatemala, but do not bring any cash in pocket, because it is not to let you go on vacation, you try to survive there for six months, and then you tell me your experience and new decision on the U.S. immigration policy.
With the decline of the United States, the pattern of the world also will be changed. American leadership will become a big international joke. When the world appears multi-power forces, and they do not mutually recognize each other, it’s the time to begin ringing alarm of new world war.  Britain, France and Germany will again seek dominance in Europe, Germany and Japan would break the restrictions on nuclear weapons, technology and capacity in both countries, they can produce the world's most sophisticated strategic offensive nuclear weapons. Russia will be ready to be tested, to regain regional hegemony. Republics of the former Soviet Union will be very frightened, fearing Russia's annexation, but eventually could not escape to become a vassal state. Arab Muslim extremists will quickly rise and rule the whole Arab world under extremism religious regime, and soon they will acquire nuclear technology and nuclear weapons, Israel will be their proving ground. Israel can only withstand one atomic bomb attack on their small territory, before the country is completely destroyed, they will project out all 160 nuclear weapons. Thus began the end of the world.
When someone asks me if so logical reasoning can explain the progressing of the world situation, my answer is yes. Understand the modern history of Europe, people know that there was no World War I, there would be no World War II, there would be also no international communism of former Soviet Union as well, and all these, were from a car driver getting lost his way. The progressing of human history, sometimes have people sigh.
I therefore call on all Americans, tell your representatives and senators, we must take this action: Revoke the 14th amendment of the US constitution about outdated citizenship clause, BIRTH CERTIFICATE IS NOT EQUIVALENT TO CITIZENSHIP. we should stop the illegal immigrants new born children’s citizenship! Which member of Congress will support this action, she or he is your congresswoman or congressman. Which members of Congress will oppose this action, you should consider an alternative candidate. On the 2016 election, which presidential candidate will propose the so-called immigration reform, you should say no to him or her; Which presidential candidate will sign the Act of cancellation of illegal immigrants new born children’s citizenship, you should support his or her election . These days all the occurrence on US-Mexico border has proven these illegal immigrants and their agents in the U.S. political arena echoed in vain, they disregard the interests of united states, constantly squeezing the tolerance of this country, they just want to turn the U.S. into Mexico. This proves once again as I judged before: a person's genes and DNA determine his brain and way of thinking. Latino create mexico, WASP create the United States. some people may feel harsh, but it is a fact. In order to keep U.S. leadership and splendid civilization in the world, in order to prevent the United States to become another Mexico, we have no way to retreat. We not only should prevent the invasion of illegal immigrants, but we have to stop their new born children’s citizenship. only doing so in order to fundamentally solve the problem of illegal immigration. The time is ticking.
",COMMENT_ADDING,699574941.2.0,,101.81.30.207,704547928,Talk:Barack Obama,2016-02-12 04:19:46.000000 UTC
703154827.0.2,"== Obama Nobel prize ==
",COMMENT_REMOVAL,,699574941.2.0,72.243.248.66,703154827,Talk:Barack Obama,2016-02-03 20:58:09.000000 UTC
707350851.2.2,"== Semi-protected edit request on ",COMMENT_REMOVAL,,653108147.1170.193,FrB.TG,707350851,Talk:Barack Obama,2016-02-28 10:04:44.000000 UTC
707995244.4324.4324,": Seems very neutral to me. NPOV does not mean that the article cannot include the negative as well as the positive regarding the subject. Also, you appear to indicate that you don't believe Fox News isn't a valid source. [EXTERNAL_LINK: It comes up periodically, and it is a valid source].
",COMMENT_ADDING,707925330.3809.3799,,SQL,707995244,Talk:Barack Obama,2016-03-03 00:20:52.000000 UTC
701856750.4910.4910,": '''Not done:''' it's not clear what changes you want to be made. Please mention the specific changes in a ""change X to Y"" format.
",COMMENT_ADDING,701856163.4901.4888,,Allthefoxes,701856750,Talk:Barack Obama,2016-01-27 00:18:22.000000 UTC
705994764.6190.6191," '''Edit:''' just saw it was already linked under ""Presidency (2009–present)"", I was blind, I am sorry for the ruckus but thanks guys for taking the time to even humor my senseless grievance!
",COMMENT_MODIFICATION,705991708.4887.4887,705994569.6191.6191,Dasnewhome,705994764,Talk:Barack Obama,2016-02-20 20:28:27.000000 UTC
711075660.22418.22418,"This article does not contain any relevant information about Obama's Syrian policy. For example [EXTERNA_LINK: https://www.washingtonpost.com/news/fact-checker/wp/2013/09/06/president-obama-and-the-red-line-on-syrias-chemical-weapons/]
There is still no word about Ukrainian crisis and Obama's attitude to this matter. And the name of the Russian president is mentioned only once.
Greetings from Prague
",COMMENT_MODIFICATION,711074653.22403.22403,711074653.22418.22403,JéeM84,711075660,Talk:Barack Obama,2016-03-20 19:55:23.000000 UTC
708482701.18725.18725,":Just to recap here, policy is that disputed changes — additions or deletions — should not be made to articles without consensus. A group of editors, some with problematic editing histories arrived a few days ago to try to add a paragraph about the Benghazi attacks, leading to protection of the article. The protecting admin noted that no consensus seems to have emerged, so that the material ""should probably be removed"". I did so, citing the talk page discussion and the admin's comments. To try to break the logjam, I tried an approach that has sometimes worked to resolve other content disputes I've seen, adding a carefully written neutral, compromise version of the proposed text that incorporates as much of the disputed version as I could, but sticks to the sources and also matches (in this case copies) from more detailed treatment in other Wikipedia articles. I described this in the edit summary as a ""trial balloon"" that I was floating,  and offered to remove it again if there was no consensus on my wording. This immediately drew a scolding revert from one of the editors promoting the paragraph. I followed up by removing the section per my earlier comment and the editor went right back to edit warring and posted the insulting screed at the top of this section. Bottom line, either we agree on a neutral, acceptable sentence or paragraph to add the Benghazi attacks to the Libya section, or that content stays out until we do. -
:: I'm going to assume good faith and guess that the editors are just misguided about content, not paying attention, and/or possibly have a [WIKI_LINK: WP:COMPETENCE] problem. One of the editors has five recent blocks for edit warring and personal attacks and apparently doesn't know [WIKI_LINK: WP:TALK] and thinking it's okay to use, then edit war over, loaded talk page headings.[[EXTERNA_LINK: https://en.wikipedia.org/w/index.php?title=Talk%3ABarack_Obama&type;=revision&diff;=708479396&oldid;=708479327]
]  And another just off an indef block). But that's really no good reason to be behaving this way, trying to edit war disputed content on an article. Toning down on the ridiculous accusations and insults would be welcome as well. -
",COMMENT_MODIFICATION,708479327.18553.18553,708481314.18693.18693,Wikidemon,708482701,Talk:Barack Obama,2016-03-05 21:34:12.000000 UTC
711306337.2.273,"::: I wrote a section on Syria and added it to the article. I tried to stay succinct and to limit its scope to what seems most relevant to Obama.
",COMMENT_REMOVAL,,705788707.3814.3814,Lowercase sigmabot III,711306337,Talk:Barack Obama,2016-03-22 02:40:19.000000 UTC
708474985.17569.17569,":You are 100% out of line, and need to back off, immediately. I'll respond more fully presently, but I'll be giving you an edit warring caution, and I urge you to self-revert yet another attempt to wedge POV, poorly sourced, non-consensus content into the encyclopedia. -
",COMMENT_MODIFICATION,708472953.17517.17517,708474759.17559.17559,Wikidemon,708474985,Talk:Barack Obama,2016-03-05 20:49:36.000000 UTC
708094954.7556.7556,":::::The [EXTERNAL_LINK: edit] that included that paragraph is absolutely unacceptable. For obvious reasons. The first being the text doesn't match the source, and doesn't include the fact that ""GOP lawmakers... cut the administration's budget request for diplomatic security in 2012"" and Ambassador Stevens rejected the offer by US military to bolster their security by adding members is the US army. Secondly, this is Obama's [WIKI_LINK: WP:BLP|biography], this incident is a blip on the radar and there is not enough [WIKI_LINK: WP:WEIGHT|weight] to include here. A small mention is included in his [WIKI_LINK: Presidency of Barack Obama#The_Arab_Spring_and_its_aftermath|Presidency article]. But I'm not even sure it should be there. Look at the [WIKI_LINK: Attacks on U.S. diplomatic facilities|many attacks the USA have had on their embassies], with almost none included in any of the people were presidents at the time. One example is the [WIKI_LINK: 1983 United States embassy bombing|Beirut embassy bombing]. Which was widely covered but rejected in the [WIKI_LINK: Ronald Reagan] biography. Although the [WIKI_LINK: 1983 Beirut barracks bombings|Beirut barracks bombing] in which there were 307 casualties(241 American Military Servicemen) is [WIKI_LINK: Ronald Reagan#Lebanese_Civil_War_.281983.29|briefly mentioned] in Reagan's article. And lastly, the [WIKI_LINK: WP:POV|POV] the edit had is unacceptable. So there you go, the editors that yearn for this to be in this article, satisfy these problems. Thanks.
",COMMENT_ADDING,708089724.7141.7141,,Dave Dial,708094954,Talk:Barack Obama,2016-03-03 16:15:17.000000 UTC
703156731.4231.0,"1 February 2016 ==
",COMMENT_ADDING,701011053.3268.3268,,GB fan,703156731,Talk:Barack Obama,2016-02-03 21:11:38.000000 UTC
698238189.231.295,"unsigned] comment added by   14:21, November 29, 2015
== Trayvon Martin shooting ==
There is no mention of his famous Trayvon Martin speech which I think the media seized on ",COMMENT_MODIFICATION,,697340759.364.394,Scjessey,698238189,Talk:Barack Obama,2016-01-04 21:24:43.000000 UTC
709041545.22461.22436,"This example is but one of many, but is novel & interesting. As noted upthread, criticisms of Pres. Obama are mostly notable for their absence in our article.
[WIKI_LINK: Mary Anastasia O'Grady], the WSJ's Latin America correspodent, wrote, in her [EXTERNAL_LINK: The Americas wekly column, March 6, 2016, paywalled]:
""If elected, Mr. Trump would inherit a country where the rule of law is already under attack by President Obama. Long-winded and ruling by decree whenever Congress—the constitutionally coequal branch of government—does not accommodate him, Mr. Obama is a classic Latin American demagogue.""
Context is her criticism of candidate Trump who, she writes, "" promises to override institutional inertia and simply decree whatever is on his mind, like a [WIKI_LINK: caudillo]. This won’t end well.""
",COMMENT_ADDING,709041545.22436.22436,,Tillman,709041545,Talk:Barack Obama,2016-03-08 21:31:59.000000 UTC
708026047.5232.5232,"::::, the extent to which Clinton was at fault is still debated considerably. Therefore, I do not think that it is appropriate for you to make the comments that you did here by saying that the attacks were not her responsibility. That is your personal opinion on what is still a very controversial political topic. When we combine this with your previous statements in which you said that my motive for adding the information was to negatively impact Hillary Clinton, I believe that it is reasonable to state that you may want to look at your own political biases for a moment before continuing. In addition, I never stated that the attacks were Clinton's fault. All I did was say that she received criticism for them. I think we can all agree that this is true. Whether the criticism is justified or not is for the reader to decide. As for their relevance to the Obama article, they should certainly be discussed in Clinton's biography in greater detail, because they have impacted her more. However, the attacks were made into an issue in the 2012 election, and have since become a major political topic during Obama's second term, and have been used by Republicans in an attempt to discredit the entire administration. I think that all of this worth a few sentences. I support the inclusion of the paragraph with some of the revisions that you suggested, including when you identified the lack of clarity regarding the 2 separate locations of the attacks.
",COMMENT_ADDING,708017831.4883.4883,,Display name 99,708026047,Talk:Barack Obama,2016-03-03 04:38:19.000000 UTC
699359887.2975.2975,":::::Well he was a law professor for a large part of his career. Maybe ""... is an American politician and law scholar currently serving...""? I can see how this would be a bit weird. It just seems like he has been a politician his whole life and never did anything else.
",COMMENT_ADDING,699355360.2952.2952,,Hamsterlopithecus,699359887,Talk:Barack Obama,2016-01-11 21:22:50.000000 UTC
703368268.837.837,"::::I would say no. This article is about Barack Obama, not the [WIKI_LINK: Keystone Pipeline#Keystone XL|Keystone XL pipeline], and OpEdNews is basically a progressive version of the Drudge Report and thus unlikely to be considered a reliable source for much of anything",COMMENT_MODIFICATION,699699501.1345.1345,699796489.1411.1411,Lowercase sigmabot III,703368268,Talk:Barack Obama,2016-02-05 02:35:15.000000 UTC
703156731.4240.0,"hi, im jayjaysofly1 and i just want permission to change his birthday every year, (age not the actual day.) And i would also like part ownership of this page... Only about 5%
Thats all thank you... please respond asap.
",COMMENT_RESTORATION,,702767837.4995.4973,GB fan,703156731,Talk:Barack Obama,2016-02-03 21:11:38.000000 UTC
703154827.0.14,"From the article:
Obama's Nobel Prize has been viewed skeptically in subsequent years, especially after the director of the Nobel Institute, Geir Lundestad, said Obama's Peace Prize was a ""failure""
This suggests that the director of the Nobel Institute feels that Obama is undeserving of the award, while the referenced article actually states that the director expected the honor to deliver a boost to Obama, something he believes did not happen. In other words its a failure of the award to boost Obama, not a failure of Obama as the Wikipedia article seems to suggest. — Preceding [WIKI_LINK: Wikipedia:Signatures|unsigned] comment added by   14:21, November 29, 2015
",COMMENT_REMOVAL,,699574941.14.0,72.243.248.66,703154827,Talk:Barack Obama,2016-02-03 20:58:09.000000 UTC
703154827.0.4218,"== Semi-protected edit request on ",COMMENT_REMOVAL,,653108147.1170.193,72.243.248.66,703154827,Talk:Barack Obama,2016-02-03 20:58:09.000000 UTC
